	Unnamed: 0	id_str	created_at	user_name	user_location	user_verified	retweet_count	favorite_count	lang	text	sentiment
0	0	1241575703331639296	2020-03-22 04:01:29	Paula		False	0	0	es	bajamos guardia nuestra lucha contra los equipos reedan marítima insular …	0
12	12	1241575708050305024	2020-03-22 04:01:30	🔥	The Moon	False	0	0	es	esto envase con plasma que podés donar fuiste positivo covid reunís las condiciones establecidas …	2
23	23	1241575715923013633	2020-03-22 04:01:32	Autoridad Informativa		False	1	1	es	salvador 144 nuevos casos nuevas muertes por covid salvador	0
24	24	1241575716099162112	2020-03-22 04:01:32	Luis Carlos Manuel	Bogotá, D.C., Colombia	False	0	0	es	2019 cuando aún llegaba covid carrasquilla destruyeron 209 000 empleos dane llevaron …	0
28	28	1241575719764987905	2020-03-22 04:01:33	Eduardo Rapetti	Ciudad del Plata, Uruguay	False	0	0	es	¿ verdad que hacen pruebas covid domicilio paparrucha …	2
33	33	1241575724244504576	2020-03-22 04:01:34	TalCual	Caracas, Venezuela	False	18	18	es	actualización veracruz sobre coronavirus covid noviembre del 2020	2
34	34	1241575724437450752	2020-03-22 04:01:34	Felipe Briceño	Bogota, Colombia	False	0	0	es	necesito urgentemente encontrar trabajo ayer nos despidieron sin previo aviso toda plantilla empresa causa…	0
42	42	1241575728971419649	2020-03-22 04:01:35	@		False	0	0	es	apenas vaya covid denuncio por fiscalia apenas den mis documentos denuncio colombia	0
43	43	1241575733035753472	2020-03-22 04:01:36	..Jorge Andres RN..㋡	Popayan-Colombia	False	0	14	es	información sobre situación uruguay relación están disponible visualizador del monito…	2
46	46	1241575737250983936	2020-03-22 04:01:37	Luis Augusto Escobar		False	0	0	es	así con fecha jornada arranca por partida doble …	2
49	49	1241575740887445505	2020-03-22 04:01:38	Diócesis de Quilmes	Buenos Aires, Argentina	False	0	3	es	reporte actualizado del venezuela cifras anunciadas por nuestro presidente …	2
51	51	1241575741256597505	2020-03-22 04:01:38	Yuri RoyalVille	Ciudad de México	False	1	11	es	son ocho jugadores cinco miembros del cuerpo técnico contagiados con	2
52	52	1241575741546016768	2020-03-22 04:01:38	𝕽𝖚𝖘𝖍𝖎	Philadelphia, PA	False	0	0	es	gdc realiza acto emulación héroes que han estado primera línea combate contra covid …	2
