Unnamed: 0;id_str;created_at;user_name;user_location;user_verified;retweet_count;favorite_count;lang;text;sentiment
24;1.24158E+18;22/3/2020 04:01;Luis Carlos Manuel;Colombia;False;0;0;es;2019 cuando aún llegaba covid carrasquilla destruyeron 209 000 empleos dane llevaron …;0
28;1.24158E+18;22/3/2020 04:01;Eduardo Rapetti;Uruguay;False;0;0;es;¿ verdad que hacen pruebas covid domicilio paparrucha …;2
33;1.24158E+18;22/3/2020 04:01;TalCual;Venezuela;False;18;18;es;actualización veracruz sobre coronavirus covid noviembre del 2020;2
34;1.24158E+18;22/3/2020 04:01;Felipe Briceño;Colombia;False;0;0;es;necesito urgentemente encontrar trabajo ayer nos despidieron sin previo aviso toda plantilla empresa causa…;0
43;1.24158E+18;22/3/2020 04:01;..Jorge Andres RN..㋡;Colombia;False;0;14;es;información sobre situación uruguay relación están disponible visualizador del monito…;2
49;1.24158E+18;22/3/2020 04:01;Diócesis de Quilmes;Argentina;False;0;3;es;reporte actualizado del venezuela cifras anunciadas por nuestro presidente …;2
51;1.24158E+18;22/3/2020 04:01;Yuri RoyalVille;Mexico;False;1;11;es;son ocho jugadores cinco miembros del cuerpo técnico contagiados con;2
52;1.24158E+18;22/3/2020 04:01;𝕽𝖚𝖘𝖍𝖎;United States;False;0;0;es;gdc realiza acto emulación héroes que han estado primera línea combate contra covid …;2
67;1.24158E+18;22/3/2020 04:01;David El Pináculo de la Especie Humana;Venezuela;False;0;0;es;biden preocupado por intento trump por bloquear transición para acelerar vacunas contra covid …;2
71;1.24158E+18;22/3/2020 04:01;MaríaLe;Colombia;False;0;1;es;hoy diagnosticaron casos nuevos covid hay 829 casos activos confirma nuevo fallecimiento;1
72;1.24158E+18;22/3/2020 04:01;Ni Mona ni Lisa.;Colombia;False;0;0;es;las autoridades hablan los jóvenes los adolescentes los universitarios pero desde que declaró emerge…;2
79;1.24158E+18;22/3/2020 04:01;Edgar González;Mexico;False;0;1;es;abordaje inspección locales comerciales por parte …;2
81;1.24158E+18;22/3/2020 04:01;Carlos Caro Rincón;Colombia;False;1;2;es;covid pampa 406 muestras analizadas resultaron positivos diario pampero;2
85;1.24158E+18;22/3/2020 04:01;Alejandro Romero;Colombia;False;0;0;es;comparte tus chats historias redes sociales nuestro resumen informativo información precisa …;2
105;1.24158E+18;22/3/2020 04:01;Angeliik👟;Colombia;False;0;0;es;biden dice que impondrá « confinamiento nacional» por covid;0
110;1.24158E+18;22/3/2020 04:01;m̶i̶l̶i̶ c̶o̶r̶i̶a̶;Argentina;False;1;2;es;impone toque queda por pico casos;0
117;1.24158E+18;22/3/2020 04:01;Eilahtanm;Colombia;False;0;0;es;mismo perder hogar tener familia con hambre que perder hogar tener familia con hambre con …;0
119;1.24158E+18;22/3/2020 04:01;Fernando Rubio ✍;Mexico;False;0;4;es;así real normal covid;2
129;1.24158E+18;22/3/2020 04:01;Camilo Escobar;Colombia;False;0;0;es;ante;2
130;1.24158E+18;22/3/2020 04:01;Santiago M.;Mexico;False;0;0;es;colombia fue corrupción que contagió virus;0
135;1.24158E+18;22/3/2020 04:01;DNE MX;Mexico;False;1;1;es;ministro junto gob estableció mesa trabajo junto estado mayor …;2
155;1.24158E+18;22/3/2020 04:01;SunStar Cebu;Philippines;False;8;46;es;vacuna biontech pfizer contra covid podría ser distribuida este mismo año dijo presiden…;2
160;1.24158E+18;22/3/2020 04:01;Sr. Quispe;Peru;False;1;15;es;avanza pago del reconocimiento talento humano salud que atiende pacientes covid min…;0
178;1.24158E+18;22/3/2020 04:01;Pato Lucas;Bolivia;False;0;0;es;mágico reencuentro entre emilio vicenta matrimonio nonagenario vicenta tuvo que ser hospitalizada por covid …;0
187;1.24158E+18;22/3/2020 04:01;MiMorelia.com;Mexico;False;0;3;es;mayoría las personas que contraen covid recuperan enfermedad sin necesidad realizar tratamiento…;0
200;1.24158E+18;22/3/2020 04:01;Juan Angel Urruzola;Uruguay;False;23;42;es;día 248 lucha contra covid venezuela registra 224 casos comunitarios importados tasa recuperación…;0
201;1.24158E+18;22/3/2020 04:01;NoticiasBta;Colombia;False;0;0;es;¡ contigo salir casa extrema las medidas seguridad prevención contra covid usa tapabocas…;0
213;1.24158E+18;22/3/2020 04:02;SuNoticiero;Venezuela;True;4;1;es;brasil acerca los seis millones casos covid;2
217;1.24158E+18;22/3/2020 04:02;Octo.;Chile;False;0;0;es;avances las medidas implementadas por gobierno nacional frente pandemia del covid país…;0
221;1.24158E+18;22/3/2020 04:02;El Cohete a la Luna 🚀🌚;Argentina;False;8;14;es;necesita brutus 2años american bully imponente guapo buenísimo merece una amo…;2
222;1.24158E+18;22/3/2020 04:02;Periódico Digital República;El Salvador;False;5;9;es;este arribo realiza bajo estrictas normas operacionales bioseguridad debido situación emergencia sanitaria…;0
223;1.24158E+18;22/3/2020 04:02;Sergio Flores;Peru;False;0;0;es;participa nuestra charla virtual manejo del duelo personal salud tiempos covid día hora…;2
225;1.24158E+18;22/3/2020 04:02;pab10eonardis;Argentina;False;0;0;es;sabemos qué covid pero sabemos cómo cuidarnos hemos aprendido nuevas formas saludar así como uso obliga…;0
240;1.24158E+18;22/3/2020 04:02;Saul Osnaya;Mexico;False;1;8;es;señores del sabemos que covid nos hecho más cuidadosos con lavado manos pero ustedes excedieron…;2
244;1.24158E+18;22/3/2020 04:02;Isaac Barrios.;Colombia;False;0;0;es;venezuela entrega oms molécula dr10 cual neutraliza 100 covid totalmente elaborada por venezolanos …;2
247;1.24158E+18;22/3/2020 04:02;Kienyke;Colombia;True;4;4;es;beneficios tributarios las empresas afectadas por covid exoneración del del impuesto industria …;0
255;1.24158E+18;22/3/2020 04:02;Dayana Nin;Venezuela;False;0;0;es;jefa gobierno adelantó que habrá para frenar crecimiento contagi…;0
259;1.24158E+18;22/3/2020 04:02;osval2q;Dominican Republic;False;0;0;es;hola los últimos meses equipo hemos estado trabajando desarrollo una nueva mascarilla con sello …;2
269;1.24158E+18;22/3/2020 04:02;Alejandro Avila;Mexico;False;0;0;es;acto emulación médicos revolución lucha contra covid bloqueo https …;1
285;1.24158E+18;22/3/2020 04:02;Yesid Lancheros;Colombia;True;8;18;es;muere carmen leticia hernández carmona diputada morena baja california causa covid via;0
