	Unnamed: 0	id_str	created_at	user_name	user_location	user_verified	retweet_count	favorite_count	lang	text	sentiment
14	14	1241575711544139778	2020-03-22 04:01:31	freedom ghost	в твоём сердечке	False	0	0	it	ricevo continue richieste sull uso dell azitromicina nelle persone con devo ribadire che non alcuna pro…	0
127	127	1241575787695722498	2020-03-22 04:01:49	Raparigovairus	Brasil - Rio de Janeiro	False	0	1	it	attenzione primi dieci che faranno fila col naso fuori dalla mascherina oltre all iphone12 porteranno casa anche…	2
139	139	1241575791688851456	2020-03-22 04:01:50	informazione interno	Italia	False	0	0	it	siamo quasi 200 medici morti per covid con 230 operatori sanitari contagiati nell’ultimo mese quasi…	0
142	142	1241575792250966016	2020-03-22 04:01:50	informazione interno	Italia	False	0	0	it	conte natale sobrio niente baci sicilia istituite nuove zone rosse	1
215	215	1241575837889187840	2020-03-22 04:02:01	Zazoom Social News	Italia	False	0	0	it	intanto giorni sono morte 1500 persone per equivalgono tutti dipendenti della bauli agli abitanti…	0
304	304	1241575892310089730	2020-03-22 04:02:14	ainur	Bali, Indonesia	False	0	0	it	ieri sono stato contattato giornalista “ fatto quotidiano” che chiesto breve commento sulla decisione …	2
404	404	1241575963625959424	2020-03-22 04:02:31	eco.logico	Italy, Earth, the only we have	False	0	0	it	notizie incoraggianti sul prima andrà garantito più esposti poi tutti modo sicuro gratuito …	2
459	459	1241575996773498880	2020-03-22 04:02:39	Notiziedi		False	0	0	it	siamo quasi 200 medici morti per covid con 230 operatori sanitari contagiati nell’ultimo mese…	0
758	758	1241576207252062208	2020-03-22 04:03:29	Claudio Sala		False	0	0	it	governo stanzia milioni per radio locali cambio chiede solo bombardamento continuo spot istituzionali…	2
994	994	1241576391071748096	2020-03-22 04:04:13	Geraci Marco	Gorizia, Friuli-Venezia Giulia	False	1	2	it	covid non virus esosoma influenzato dalla contaminazione elettromagnetica	2
1074	1074	1241576441399173126	2020-03-22 04:04:25	Eliza	United States	False	0	0	it	madre tutti video sul covid dott franchi smaschera una volta per tutte con dettagli…	2
1281	1281	1241576571862990849	2020-03-22 04:04:56	Adrian VaCo	Mexico DF	False	0	0	it	ora inizia processo valutazione che solito richiedono anni qui saranno velocizzate next stop for covid …	2
1307	1307	1241576593052532741	2020-03-22 04:05:01	jGiusi ❤️	Roma	False	0	0	it	gli aaa sono stati posticipati dal alle red carpet dalle causa della necessitá migliorare…	2
